,Substrate SMILES,Alkene SMILES,Acid SMILES,Temp /C,ee
4,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=CC=C(Cl)O2)=O)C(C(O)=O)N1C(C1=CC=C(Cl)O1)=O,25,
5,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]%16[C@H](C8=CC=CC=C8)N(C(C%17=CSC=C%17OC)=O)C(C(O)=O)N%16C(C%18=CSC=C%18OC)=O,25,
6,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(Cl)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Cl)=O,25,
7,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=CC(C)=C(C)C=C2)=O)C(C(O)=O)N1C(C1=CC=C(C)C(C)=C1)=O,25,
8,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]%13[C@H](C8=CC=CC=C8)N(C(C%14=C(F)C=CS%14)=O)C(C(O)=O)N%13C(C%15=C(F)C=CS%15)=O,25,
9,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(C)OC(C3=CC=CC=C3)=C2)=O)C(C(O)=O)N1C(C1=C(C)OC(C2=CC=CC=C2)=C1)=O,25,
10,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=CC=C(Cl)S2)=O)C(C(O)=O)N1C(C1=CC=C(Cl)S1)=O,25,
11,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]%36[C@H](C8=CC=CC=C8)N(C(C%37=CC=C(C)C=C%37)=O)C(C(O)=O)N%36C(C%38=CC=C(C)C=C%38)=O,25,
12,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]4[C@H](C8=CC=CC=C8)N(C(C5=CC=CS5)=O)C(C(O)=O)N4C(C6=CC=CS6)=O,25,
13,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(F)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1F)=O,25,
14,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C([N+]([O-])=O)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1[N+]([O-])=O)=O,25,
15,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=COC=C2C)=O)C(C(O)=O)N1C(C1=COC=C1C)=O,25,
16,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(OC)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1OC)=O,25,
17,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(C)C(C=CC=C3)=C3O2)=O)C(C(O)=O)N1C(C1=C(C)C2=C(C=CC=C2)O1)=O,25,
18,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]%68[C@H](C8=CC=CC=C8)N(C(C%69=CC=C(OC)C=C%69)=O)C(C(O)=O)N%68C(C%70=CC=C(OC)C=C%70)=O,25,
19,C12=C(C=CN2C3=NC=CC4=C3C=CC=C4)C=CC=C1,C=CCC1=CC=CC=C1,C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=COC(C)=C2)=O)C(C(O)=O)N1C(C1=COC(C)=C1)=O,25,
